date,time,lon,lat,input
20120614,135800,127.7632632,38.19901123,2012061413
20120622,122400,127.8513371,37.53119262,2012062212
20120620,132400,128.4624877,37.50270081,2012062013
20120530,051200,128.084883,37.73984614,2012053005
20120808,225000,128.7470916,37.29260673,2012080822
20121102,140700,128.5439227,37.63250821,2012110214
20120614,213100,127.7599745,37.90694781,2012061421
20121014,142800,128.5045017,38.16083164,2012101414
20120530,091000,127.981324,38.14401129,2012053009
20120629,054100,127.7759807,37.25831688,2012062905
20121227,131400,127.9553324,37.37976852,2012122713
20121021,130000,127.8170263,37.28866955,2012102113
20121127,121600,127.7262092,37.93183852,2012112712
20120621,135200,127.837713,37.74010153,2012062113
20130109,030000,128.9521642,37.72554159,2013010903
20130228,120900,129.3365258,37.17780337,2013022812
20130110,215400,128.8765644,37.79077364,2013011021
20121024,155000,128.4875735,38.37325284,2012102415
20120626,115600,127.6794394,37.92125169,2012062611
20130306,150800,127.6642565,37.70451286,2013030615
20130303,115400,128.5731275,38.20184354,2013030311
20121226,122100,129.1785426,37.17769467,2012122612
20130112,164600,128.6104563,38.12910589,2013011216
20130309,131000,127.8887285,37.98566448,2013030913
20130109,030000,128.9521642,37.72554159,2013010903
20130311,124400,127.9515954,38.15057121,2013031112
20130104,173500,129.1012337,37.49339863,2013010417
20130309,162400,127.7190445,37.81433954,2013030916
20130115,082100,128.6196869,38.08881421,2013011508
20130323,143100,127.8044002,37.35180589,2013032314
20130316,105800,128.6053749,38.1178438,2013031610
20130304,122100,129.2154211,37.31608789,2013030412
20130327,202600,129.042942,37.08980603,2013032720
20130309,170300,128.9610788,37.74002205,2013030917
20130308,121200,128.7172639,37.91742118,2013030812
20130413,121400,128.9082215,37.77288249,2013041312
20130308,011000,129.3415935,37.16001687,2013030801
20130328,021200,128.8883375,37.76944301,2013032802
20130310,132900,128.4837552,37.41432483,2013031013
20130413,144000,128.376151,38.52504419,2013041314
20130418,184800,127.6981008,37.66751635,2013041818
20130422,195600,128.8725534,37.77383088,2013042219
20130316,130000,127.219533,38.15854796,2013031613
20130328,201700,129.042942,37.08980603,2013032820
20130327,143500,127.6183427,37.80658058,2013032714
20130504,125000,127.8362775,37.66872565,2013050412
20130327,155400,127.884334,37.70023437,2013032715
20130427,114700,128.7396859,37.98425724,2013042711
20130504,143300,128.5136257,37.62297692,2013050414
20130401,142000,127.778023,37.87856338,2013040114
20130416,203600,127.8058969,37.75185558,2013041620
20130506,144900,127.7777435,37.91695546,2013050614
20130508,122500,128.1233672,37.36234139,2013050812
20130429,153200,128.4179441,38.35192304,2013042915
20130419,103200,127.5213286,38.12343296,2013041910
20130419,110700,127.8044695,37.59243466,2013041911
20130516,111400,127.7319748,37.60998943,2013051611
20130508,134700,128.1130688,38.29237722,2013050813
20130516,132300,128.6695582,37.64212851,2013051613
20130506,012700,127.778023,37.87856338,2013050601
20130430,115900,129.0722029,37.33515312,2013043011
20130521,153200,128.0482851,38.09544473,2013052115
20130507,121100,128.8938489,37.72830989,2013050712
20130512,135700,129.1024937,37.41240557,2013051213
20130610,131300,128.4514783,37.80769807,2013061013
20130508,110400,128.5045017,38.16083164,2013050811
20131020,071000,128.4730804,37.61356601,2013102007
20130611,154000,128.0482851,38.09544473,2013061115
20130517,223000,127.6490717,37.86876806,2013051722
20131027,100700,128.8763316,37.46639468,2013102710
20130514,082900,127.832603,38.17925471,2013051408
20131101,154500,128.2913415,37.9149348,2013110115
20130605,191100,128.7439323,37.33638484,2013060519
20130811,123900,129.1717821,37.09021427,2013081112
20131120,175900,128.8938489,37.72830989,2013112017
20130607,025900,127.778023,37.87856338,2013060702
20131204,110600,128.9736043,37.70997261,2013120411
20131122,221700,128.9863777,37.31440302,2013112222
20131029,143000,127.6876725,38.00413146,2013102914
20131206,132000,127.9596029,37.41097613,2013120613
20130825,200500,128.7280571,37.46579021,2013082520
20131228,133600,128.2579044,38.27479167,2013122813
